host,scene_name,date,scene_token,first_sample_token
host-a007,host-a007-lidar0-1230485630199365106-1230485655099030186,2019-01-02 17:33:50.301987,473093b48a7cb78d05e36245fd2dbd12d66ded7dab1ecb862945390b8a765c0a,c7f7de87ec90c8993d4e7d5463208d2aa9f5ecde671960536f39b9a86f939d3c
host-a007,host-a007-lidar0-1230672860198383106-1230672885099108186,2019-01-04 21:34:20.301189,c62b89d6ae60528c00b8a520bfa16799147f5c2dccbe1e7c535edf2e7931f7aa,07889e50d51717e829cbcb4800e6cb2ce08bdabe92440c6708131c8f9059d21d
host-a007,host-a007-lidar0-1230936221299185986-1230936246198612066,2019-01-07 22:43:41.402021,694dc7b4629151745d3e1b228b1d6653b0fc1ded12aa8da00ade85178ea6a028,83ce1da2c4b37ca88a102928f01512acf8f55ac7207d04c0fe0ea7beb2263462
host-a007,host-a007-lidar0-1231093036199514746-1231093061099651426,2019-01-09 18:17:16.302257,8ed3a2f8cf6e01e0d2c0df7db77839f468ed2aa48b6511bf2fc450e71d0d21f2,dddda3940f002b0fa6c495a5ad6d5c4a4c8253aa5ed1895fe4b0171f5fa1c041
host-a009,host-a009-lidar0-1231200854198312986-1231200879098460066,2019-01-11 00:14:14.301261,a05a48966fbc46666be116a79222374c6c79e6fa930c2fe6df1b220a77055f3f,8990abea0a146b047a04bc6ed303b16cb1c62cca49bf58e174e90a58b1dc69e5
host-a005,host-a005-lidar0-1231201437298603426-1231201462198815506,2019-01-11 00:23:57.401682,41bdc6cc36d768bb74315128a329e7c6554bd2a6ad6bfc6f126528c9ea09dec5,cea0bba4b425537cca52b17bf81569a20da1ca6d359f33227f0230d59d9d2881
host-a011,host-a011-lidar0-1232401360198078026-1232401385098379106,2019-01-24 21:42:40.301065,2bd00da3465bac6fdfe2177a12118650679e84e3133b2da8e4678d9d8d21b75d,2d96b2588f8c4ae81c94ceeda42b3b03e977dfff190c52b56243e9b00ee42962
host-a011,host-a011-lidar0-1232412236198491106-1232412261098202466,2019-01-25 00:43:56.301489,d9161aaeef7bab4d1ceb5deb7365ac4627914eacfc88e27695062ee44199fe77,d31cbe171e3d54da81df2345ac7af6167f5df2623cb0c3cd2b2666506cba2e70
host-a007,host-a007-lidar0-1232470052198454586-1232470077098888666,2019-01-25 16:47:32.301473,2ea4540f5f6177d2c086003d343fe8518f9515e9e90439d4de3d649d78feadb4,ad71ce1bf707f070a9ec523fe6185afa87db88592f667b07f77e570d000c52f1
host-a011,host-a011-lidar0-1232485958298280666-1232485983200054996,2019-01-25 21:12:38.401113,f40b928370a9cc88971da97f0c235b41aea6fe928ea25ff7dd48b69fed6804cc,66308cdc803d44d9733167a9bf58a1a1f8e2652fb049d85cd454c8ee16d8ce38
